safegraph_place_id,measure_date,day_total_visits,location_name
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-14,0,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-15,22,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-15,2,Emerald Lake Trail
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-15,0,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-15,0,Bear Lake
sg:4a101b32337b489e8fd0c61572c1c970,2019-03-15,1,Upper Beaver Meadows
sg:4a101b32337b489e8fd0c61572c1c970,2019-03-16,0,Upper Beaver Meadows
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-16,2,Bear Lake
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-16,2,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-16,21,Glacier Basin Campground
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-16,0,Hollowell Park Trailhead
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-17,3,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-17,3,Bear Lake
sg:4a101b32337b489e8fd0c61572c1c970,2019-03-17,0,Upper Beaver Meadows
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-17,8,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-17,20,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-18,2,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-18,15,Glacier Basin Campground
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-18,1,Hollowell Park Trailhead
sg:4a101b32337b489e8fd0c61572c1c970,2019-03-18,0,Upper Beaver Meadows
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-18,1,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-19,0,Bear Lake
sg:4a101b32337b489e8fd0c61572c1c970,2019-03-19,0,Upper Beaver Meadows
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-19,3,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-19,16,Glacier Basin Campground
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-19,0,Hollowell Park Trailhead
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-20,5,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-20,0,Bear Lake
sg:4a101b32337b489e8fd0c61572c1c970,2019-03-20,0,Upper Beaver Meadows
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-20,15,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-20,3,Emerald Lake Trail
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-21,8,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-21,18,Glacier Basin Campground
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-21,1,Hollowell Park Trailhead
sg:4a101b32337b489e8fd0c61572c1c970,2019-03-21,0,Upper Beaver Meadows
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-21,1,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-22,5,Bear Lake
sg:4a101b32337b489e8fd0c61572c1c970,2019-03-22,0,Upper Beaver Meadows
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-22,12,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-22,3,Emerald Lake Trail
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-22,0,Hollowell Park Trailhead
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-23,0,Hollowell Park Trailhead
sg:4a101b32337b489e8fd0c61572c1c970,2019-03-23,1,Upper Beaver Meadows
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-23,2,Bear Lake
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-23,17,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-23,8,Emerald Lake Trail
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-24,3,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-24,21,Glacier Basin Campground
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-24,1,Hollowell Park Trailhead
sg:4a101b32337b489e8fd0c61572c1c970,2019-03-24,0,Upper Beaver Meadows
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-24,1,Bear Lake
